"Entrez GeneId","Gene Symbol","Name","Genome Location","Chr Band","Somatic","Germline","Tumour Types(Somatic)","Tumour Types(Germline)","Cancer Syndrome","Tissue Type","Molecular Genetics","Role in Cancer","Mutation Types","Translocation Partner","Other Germline Mut","Other Syndrome","Synonyms","Uniprot_ID","Annotation"
355,"FAS","Fas cell surface death receptor","10:88990877-89014450","10q24.1","yes","","TGCT, nasal NK/T lymphoma, skin squamous cell carcinoma-burn scar related","","","L, E, O","Rec","TSG","Mis","","yes","Autoimmune lymphoproliferative syndrome","FAS1,FAS,355,ENSG00000026103,FASTM,APO-1,P25445,CD95,ALPS1A,TNFRSF6,APT1","P25445","5 out of 5"
367,"AR","Androgen Receptor","X:67545147-67723841","Xq12","yes","yes","prostate","","","E","Dom","oncogene","Mis","","yes","Androgen insensitivity, Hypospadias 1, X-linked, Spinal and bulbar muscular atrophy of Kennedy","P10275,AR,367,ENSG00000169083,DHTR,SBMA,HUMARA,SMAX1,RP11-383C12_1,TFM,AIS,NR3C4,KD","P10275","5 out of 5"
387,"RHOA","ras homolog family member A","3:49360209-49375589","3p21.3","yes","","diffuse gastric, T cell lymphomas, paediatric Burkitt lymphoma","","","E, L","Dom","","Mis, F, O","","","","ENSG00000067560,RHOA,387,ARHA,RhoA,RHOH12,RHO12,ARH12,Rho12","P61586","5 out of 5"
399,"RHOH","ras homolog family member H","4:40243387-40243962","4p13","yes","","NHL","","","L","Dom","","T","BCL6","","","TTF,RHOH,399,ENSG00000168421,ARHH,RhoH","Q15669","5 out of 5"
405,"ARNT","aryl hydrocarbon receptor nuclear translocator","1:150812021-150876567","1q21","yes","","AML","","","L","Dom","oncogene/TSG","T","ETV6","","","HIF1BETA,405,ARNT,ENSG00000143437,P27540,HIF-1beta,HIF1B,TANGO","P27540","5 out of 5"
463,"ZFHX3","zinc finger homeobox 3","16:72787164-72960145","16q22.3","yes","","endometrial, gastric, prostate","","","E","Dom","TSG","Mis, N","","","","ATBT,463,ZFHX3,ENSG00000140836,Q15911,ZFHX3","Q15911","5 out of 5"
466,"ATF1","activating transcription factor 1","12:50780147-50819780","12q13","yes","","malignant melanoma of soft parts, angiomatoid fibrous histiocytoma","","","E, M","Dom","","T","EWSR1, FUS","","","TREB36,ATF1,466,ENSG00000123268,P18846","P18846","5 out of 5"
471,"ATIC","5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase","2:215312144-215349656","2q35","yes","","ALCL","","","L","Dom","oncogene","T","ALK","","","IMPCHASE,471,ATIC,ENSG00000138363,AICARFT,P31939,PURH","P31939","5 out of 5"
472,"ATM","ataxia telangiectasia mutated","11:108227625-108365508","11q22.3","yes","yes","T-PLL","leukaemia, lymphoma, medulloblastoma, glioma","ataxia-telangiectasia","L, O","Rec","TSG","D, Mis, N, F, S","","","","TELO1,ATM,472,ENSG00000149311,TEL1,ATD,ATE,DKFZp781A0353,AT1,Q13315,MGC74674,ATDC,ATC,ATA","Q13315","5 out of 5"
476,"ATP1A1","ATPase, Na+/K+ transporting, alpha 1 polypeptide","1:116373512-116404444","1p21","yes","","adrenal aldosterone producing adenoma","","","E","Dom","oncogene/TSG","Mis, O","","","","ATP1A1,P05023,MGC51750,MGC3285,ENSG00000163399,476","P05023","5 out of 5"
492,"ATP2B3","ATPase, Ca++ transporting, plasma membrane 3","X:153536248-153580003","Xq28","yes","","adrenal aldosterone producing adenoma","","","E","Dom","TSG","O","","","","PMCA3,492,ATP2B3,ENSG00000067842","Q16720","5 out of 5"
545,"ATR","ATR serine/threonine kinase","3:142449429-142578704","3q23","yes","yes","endometrial, gastric, epithelial ovarian, myeloma","oropharyngeal","familial cutaneous telangiectasia and cancer syndrome","E; L","Dom","TSG","F; Mis","","yes","Seckel syndrome 1","Q13535,ATR,545,ENSG00000175054,MEC1,SCKL,SCKL1,FRP1","Q13535","5 out of 5"
546,"ATRX","alpha thalassemia/mental retardation syndrome X-linked","X:77508351-77786001","Xq21.1","yes","","pancreatic neuroendocrine tumours, paediatric GBM","","","E","Rec","TSG","Mis, F, N","","yes","ATR-X (alpha thalassemia/mental retardation) syndrome","ATRX,P46100,ZNF-HX,XNP,XH2,SHS,SFM1,RAD54,MRXHF1,MGC2094,ATR2,546","P46100","5 out of 5"
567,"B2M","beta-2-microglobulin","15:44711547-44716342","15q21.1","yes","","DLBCL, melanoma, colorectal adenocarcinoma","","","E, L","Rec","TSG","Mis, N, F","","yes","Immunodeficiency 43","P61769,567,B2M,ENSG00000166710","P61769","5 out of 5"
595,"CCND1","cyclin D1","11:69641314-69651282","11q13","yes","","CLL, B-ALL, breast","","","L, E","Dom","oncogene","T","IGH, FSTL3","","","BCL1,595,CCND1,ENSG00000110092,PRAD1,U21B31,D11S287E","P24385","5 out of 5"
596,"BCL2","B-cell CLL/lymphoma 2","18:63128625-63318666","18q21.3","yes","","NHL, CLL","","","L","Dom","oncogene","T","IGH","","","Bcl-2,596,BCL2,ENSG00000171791","P10415","5 out of 5"
602,"BCL3","B-cell CLL/lymphoma 3","19:44748791-44759615","19q13","yes","","CLL","","","L","Dom","oncogene","T","IGH","","","P20749,602,BCL3,ENSG00000069399,D19S37,BCL4","P20749","5 out of 5"
604,"BCL6","B-cell CLL/lymphoma 6","3:187722458-187733693","3q27","yes","","NHL, CLL","","","L","Dom","oncogene","T, Mis","IG loci, ZNFN1A1, LCP1, PIM1, TFRC, CIITA, NACA, HSPCB, HSP90AA1, HIST1H4I, IL21R,  POU2AF1, RHOH, EIF4A2, SRSF3","","","BCL5,603,BCL6,604,ENSG00000113916,ZBTB27,P41182,LAZ3,BCL6A,ZNF51","P41182","5 out of 5"
605,"BCL7A","B-cell CLL/lymphoma 7A","12:122022092-122059163","12q24.1","yes","","BNHL","","","L","Dom","oncogene","T","MYC","","","BCL7,605,BCL7A,ENSG00000110987","Q4VC05","3 out of 5"
607,"BCL9","B-cell CLL/lymphoma 9","1:147611837-147624864","1q21","yes","","B-ALL","","","L","Dom","oncogene","T","IGH, IGL","","","LGS,BCL9,607,ENSG00000116128,MGC131591","O00512","5 out of 5"
608,"TNFRSF17","tumor necrosis factor receptor superfamily, member 17","16:11965325-11967847","16p13.1","yes","","intestinal T-cell lymphoma","","","L","Dom","","T","IL2","","","BCMA,608,TNFRSF17,ENSG00000048462,CD269,Q02223,BCM","Q02223","5 out of 5"
613,"BCR","breakpoint cluster region","22:23180961-23315522","22q11.21","yes","","CML, ALL, AML","","","L","Dom","oncogene","T","ABL1,  FGFR1, JAK2","","","FLJ16453,613,BCR,ENSG00000186716,BCR1,D22S662,D22S11,CML,P11274,PHL,ALL","P11274","5 out of 5"
639,"PRDM1","PR domain containing 1, with ZNF domain","6:106088267-106107486","6q21","yes","","DLBCL","","","L","Rec","","D, N, Mis, F, S","","","","BLIMP1,639,PRDM1,ENSG00000057657,MGC118925,PRDI-BF1,MGC118924,MGC118922,RP1-134E15_1,O75626,MGC118923","O75626","5 out of 5"
641,"BLM","Bloom Syndrome","15:90747393-90815279","15q26.1","","yes","","leukaemia, lymphoma, skin squamous cell, other tumour types","Bloom syndrome","L, E","Rec","TSG","Mis, N, F","","","","MGC131620,641,BLM,ENSG00000197299,MGC131618,RECQ2,RECQL2,RECQL3,MGC126616,BS","P54132","5 out of 5"
657,"BMPR1A","bone morphogenetic protein receptor, type IA","10:86876019-86923719","10q22.3","","yes","","gastrointestinal polyps","juvenile polyposis","E","Rec","oncogene/TSG","Mis, N, F","","","","ACVRLK3,657,BMPR1A,ENSG00000107779,P36894,ALK3,CD292","P36894","5 out of 5"
668,"FOXL2","forkhead box L2","3:138945592-138946722","3q23","yes","","granulosa-cell tumour of the ovary","","","O","Dom","oncogene/TSG","Mis","","yes","Blepharophimosis, ptosis and epicanthus inversus Types I, II; Premature ovarian failure type III","BPES,668,FOXL2,ENSG00000183770,P58012,PFRK,POF3,PINTO,BPES1","P58012","5 out of 5"
672,"BRCA1","familial breast/ovarian cancer gene 1","17:43045678-43124096","17q21","yes","yes","ovarian","breast, ovarian","hereditary breast/ovarian cancer","E","Rec","TSG","D, Mis, N, F, S","","","","BRCAI,BRCA1,672,ENSG00000012048,IRIS,BRCC1,RNF53,PSCP","P38398","5 out of 5"
673,"BRAF","v-raf murine sarcoma viral oncogene homolog B1","7:140734597-140924703","7q34","yes","","melanoma, colorectal, papillary thyroid, borderline ovarian, NSCLC, cholangiocarcinoma, pilocytic astrocytoma, Spitzoid tumour, pancreas acinar carcinoma, melanocytic nevus, prostate, gastric","","","E, O","Dom","oncogene/fusion","Mis, T, O","AKAP9, KIAA1549, CEP88, LSM14A, SND1, FCHSD1, SLC45A3, FAM131B, RNF130, CLCN6, MKRN1, GNAI1, AGTRAP","yes","Cardio-facio-cutaneous syndrome","MGC126806,673,BRAF,ENSG00000157764,MGC138284,RAFB1,P15056,B-raf 1,BRAF1,B-raf1","P15056","5 out of 5"
675,"BRCA2","familial breast/ovarian cancer gene 2","13:32316461-32398770","13q12","yes","yes","breast, ovarian, pancreatic","breast, ovarian, pancreatic, leukaemia  (FANCB, FANCD1)","hereditary breast/ovarian cancer","L, E","Rec","TSG","D, Mis, N, F, S","","","","FAD,675,BRCA2,ENSG00000139618,FACD,FAD1,FANCD,FANCD1,BRCC2,RP11-298P3_4","P51587","5 out of 5"
694,"BTG1","B-cell translocation gene 1, anti-proliferative","12:92144080-92145535","12q22","yes","","B-CLL","","","L","Dom","TSG","T","MYC","","","P62324,BTG1,694,ENSG00000133639","P62324","5 out of 5"
695,"BTK","Bruton agammaglobulinemia tyrosine kinase","X:101349885-101375284","Xq21.33-q22","yes","","CLL, mantle cell lymphoma","","","L","Dom","oncogene/TSG","Mis","","yes","agammaglobulinemia","AGMX1,BTK,695,ENSG00000010671,XLA,IMD1,RP1-164F3_2,MGC126262,BPK,ATK,MGC126261,Q06187,AT,PSCTK1","Q06187","5 out of 5"
701,"BUB1B","BUB1 budding uninhibited by benzimidazoles 1 homolog beta (yeast)","15:40161221-40220759","15q15","","yes","","rhabdomyosarcoma","mosaic variegated aneuploidy","M","Rec","TSG","Mis, N, F, S","","","","BUBR1,BUB1B,701,ENSG00000156970,SSK1,BUB1beta,MAD3L,hBUBR1,Bub1A,O60566","O60566","5 out of 5"
776,"CACNA1D","calcium channel, voltage-dependent, L type, alpha 1D subunit","3:53495167-53811406","3p14.3","yes","","adrenal aldosterone producing adenoma","","","E","Dom","oncogene","Mis","","yes","Syndrome featuring primary aldosteronism, seizures and neuromuscular disease.","CACNA1D,CCHL1A2,Cav1_3,CACNL1A2,CACN4,CACH3,ENSG00000157388,776","Q01668","5 out of 5"
811,"CALR","calreticulin","19:12938680-12943913","19p13.3-p13.2","yes","","MPN, MDS","","","L","Dom","oncogene","F, Mis","","","","ENSG00000179218,811,CALR,P27797,SSA,RO,FLJ26680,cC1qR","P27797","5 out of 5"
833,"CARS","cysteinyl-tRNA synthetase","11:3001114-3057367","11p15.5","yes","","ALCL","","","L","Dom","TSG/fusion","T","ALK","","","P49589,CARS,833,ENSG00000110619","P49589","5 out of 5"
841,"CASP8","caspase 8, apoptosis-related cysteine peptidase","2:201266487-201286594","2q33-q34","yes","","hepatocellular, oral squamous cell, breast","","","E","Rec","TSG","N, S, F","","","","ALPS2B,CASP8,841,ENSG00000064012,MGC78473,CAP4,MACH,MCH5,FLICE","Q14790","5 out of 5"
861,"RUNX1","runt-related transcription factor 1  (AML1)","21:34792135-35048899","21q22.3","yes","","AML, pre B-ALL, T-ALL","","","L","Dom","oncogene/TSG","T","RPL22, MECOM, CBFA2T3, RUNX1T1, ETV6, AFF3","","","PEBP2A2,RUNX1,861,ENSG00000159216,Q01196,AML1,CBFA2,AMLCR1","Q01196","5 out of 5"
862,"RUNX1T1","runt-related transcription factor 1; translocated to, 1 (cyclin D-related)","8:91960242-92017340","8q22","yes","","AML","","","L","Dom","oncogene","T","KMT2A, RUNX1","","","ENSG00000079102,862,RUNX1T1","Q06455","5 out of 5"
863,"CBFA2T3","core-binding factor, runt domain, alpha subunit 2; translocated to, 3 (MTG-16)","16:88876976-88976807","16q24","yes","","AML","","","L","Dom","","T","RUNX1, GLIS2","","","ETO2,CBFA2T3,863,ENSG00000129993,ZMYND4,MTGR2,MTG16","O75081","5 out of 5"
865,"CBFB","core-binding factor, beta subunit","16:67029409-67098733","16q22","yes","","AML","","","L","Dom","TSG","T","MYH11","","","PEBP2B,865,CBFB,ENSG00000067955,Q13951","Q13951","5 out of 5"
867,"CBL","Cas-Br-M (murine) ecotropic retroviral transforming","11:119206418-119299781","11q23.3","yes","","AML, JMML, MDS","","","L","Dom/Rec","oncogene/TSG","T, Mis, S, O","KMT2A","","","RNF55,867,CBL,ENSG00000110395,C-CBL,CBL2","P22681","5 out of 5"
868,"CBLB","Cas-Br-M (murine) ecotropic retroviral transforming sequence b","3:105658970-105867577","3q13.11","yes","","AML","","","L","Rec","TSG","Mis, S","","","","DKFZp686J10223,868,CBLB,ENSG00000114423,Nbla00127,RNF56,FLJ41152,FLJ36865,DKFZp779F1443,DKFZp779A0729","Q13191","5 out of 5"
894,"CCND2","cyclin D2","12:4274041-4300009","12p13","yes","","NHL,CLL","","","L","Dom","oncogene","T","IGL","","","KIAK0002,894,CCND2,ENSG00000118971,P30279,MGC102758","P30279","5 out of 5"
896,"CCND3","cyclin D3","6:41935940-41941649","6p21","yes","","MM","","","L","Dom","oncogene","T","IGH","","","P30281,896,CCND3,ENSG00000112576","P30281","5 out of 5"
898,"CCNE1","cyclin E1","19:29812556-29823777","19q12","yes","","serous ovarian","","","E","Dom","oncogene","A","","","","CCNE,898,CCNE1,ENSG00000105173,P24864","P24864","5 out of 5"
972,"CD74","CD74 molecule, major histocompatibility complex, class II invariant chain","5:150402584-150412749","5q32","yes","","NSCLC","","","E","Dom","oncogene","T","ROS1, NRG1","","","ENSG00000019582,972,CD74,protein 41,Ia-GAMMA,HLADG,DHLAG","P04233","5 out of 5"
973,"CD79A","CD79a molecule, immunoglobulin-associated alpha","19:41877305-41880980","19q13.2","yes","","DLBCL, WM","","","L","Dom","oncogene","S","","yes","Agammaglobulinaemia","ENSG00000105369,973,CD79A,P11912,MB-1,IGA","P11912","5 out of 5"
974,"CD79B","CD79b molecule, immunoglobulin-associated beta","17:63929226-63932261","17q23","yes","","DLBCL, WM","","","L","Dom","oncogene","Mis, S","","yes","Agammaglobulinaemia","ENSG00000007312,974,CD79B,P40259,IGB,B29","P40259","5 out of 5"
999,"CDH1","cadherin 1, type 1, E-cadherin (epithelial) (ECAD)","16:68737416-68833499","16q22.1","yes","yes","lobular breast, gastric","gastric","familial gastric carcinoma","E","Rec","TSG","Mis, N, F, S","","","","uvomorulin,999,P12830,CDH1,ENSG00000039068,CDHE,Arc-1,UVO,LCAM,CD324,ECAD","P12830","5 out of 5"
1009,"CDH11","cadherin 11, type 2, OB-cadherin (osteoblast)","16:64947603-65004869","16q22.1","yes","","aneurysmal bone cyst","","","M","Dom","TSG","T","USP6","","","OB,1009,CDH11,ENSG00000140937,CAD11,P55287","P55287","5 out of 5"
1019,"CDK4","cyclin-dependent kinase 4","12:57748525-57751717","12q14","","yes","","melanoma","familial malignant melanoma","E","Dom","oncogene","Mis","","","","PSK-J3,1019,CDK4,ENSG00000135446,MGC14458,CMM3,P11802","P11802","5 out of 5"
1021,"CDK6","cyclin-dependent kinase 6","7:92615140-92833323","7q21-q22","yes","","ALL","","","L","Dom","oncogene","T","MLLT10","","","MGC59692,CDK6,1021,Q00534,ENSG00000105810,PLSTIRE","Q00534","5 out of 5"
1027,"CDKN1B","cyclin-dependent kinase inhibitor 1B (p27, Kip1)","12:12717840-12718946","12p13.1-p12","yes","yes","breast, small intestine neuroendocrine tumours","pituitary, parathyroid","multiple endocrine neoplasia type IV","E","Rec","TSG","F","","","","CDKN4,1027,CDKN1B,ENSG00000111276,MEN4,P27KIP1,P46527,MEN1B,KIP1","P46527","5 out of 5"
1029,"CDKN2A","cyclin-dependent kinase inhibitor 2A (p16(INK4a)) gene","9:21968229-21974827","9p21","yes","yes","melanoma, multiple other tumour types","melanoma, pancreatic","familial malignant melanoma","L, E, M, O","Rec","TSG","D, Mis, N, F, S","","","","CDK4I,CDKN2A,1029,ENSG00000147889,P42771,p14,CMM2,ARF,TP16,p16,MTS1,p19,p16INK4a,INK4a,CDKN2,p16INK4,p14ARF,MLM,INK4","P42771","5 out of 5"
1029,"CDKN2A","cyclin-dependent kinase inhibitor 2A (p16(INK4a)) gene","9:21968229-21974827","9p21","yes","yes","melanoma, multiple other tumour types","melanoma, pancreatic","familial malignant melanoma","L, E, M, O","Rec","TSG","D, Mis, N, F, S","","","","CDK4I,CDKN2A,1029,ENSG00000147889,P42771,p14,CMM2,ARF,TP16,p16,MTS1,p19,p16INK4a,INK4a,CDKN2,p16INK4,p14ARF,MLM,INK4","Q8N726","5 out of 5"
1031,"CDKN2C","cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)","1:50970369-50974270","1p32","yes","","glioma, MM","","","O, L","Rec","TSG","D","","","","P42773,1031,CDKN2C,ENSG00000123080,INK4C,p18,p18-INK4C","P42773","5 out of 5"
1045,"CDX2","caudal type homeo box transcription factor 2","13:27963115-27969006","13q12.3","yes","","AML","","","L","Dom","TSG","T","ETV6","","","CDX3,1045,CDX2,ENSG00000165556,Q99626","Q99626","5 out of 5"
1050,"CEBPA","CCAAT/enhancer binding protein (C/EBP), alpha","19:33301338-33302414","19q13.1","yes","","AML, MDS","","","L","Dom","TSG","Mis, N, F","","","","CEBP,1050,CEBPA,C/EBP-alpha,P49715","P49715","5 out of 5"
1108,"CHD4","chromodomain helicase DNA binding protein 4","12:6570676-6606373","12p13","yes","","uterine serous carcinoma","","","E","Dom","oncogene","Mis, F, N","","","","Mi2-BETA,CHD4,1108,ENSG00000111642,Mi-2b,DKFZp686E06161,Q14839","Q14839","5 out of 5"
1213,"CLTC","clathrin, heavy polypeptide (Hc)","17:59620133-59693853","17q11-qter","yes","","ALCL, renal","","","L","Dom","TSG","T","ALK, TFE3","","","CLTCL2,1213,CLTC,ENSG00000141367,Q00610","Q00610","5 out of 5"
1277,"COL1A1","collagen, type I, alpha 1","17:50185502-50201513","17q21.31-q22","yes","","DFSP, aneurysmal bone cyst","","","M","Dom","oncogene","T","PDGFB, USP6","yes","Osteogenesis imperfecta","P02452,1277,COL1A1,ENSG00000108821,OI4","P02452","5 out of 5"
1280,"COL2A1","collagen, type II, alpha 1","12:47973407-48004321","12q13.11","yes","","chondrosarcoma, enchondroma","","","L, E, M","Rec","oncogene","F, Mis, N, T","","yes","Spondyloepiphyseal Dysplasia Congenita, Achondrogenesis Type II, Stickler Syndrome, Type I and others","COL2A1,SEDC,MGC131516,COL11A3,AOM,ANFH,ENSG00000139219,1280","P02458","5 out of 5"
1316,"KLF6","Kruppel-like factor 6","10:3779539-3785014","10p15","yes","","prostate, glioma","","","E, O","Rec","TSG","Mis, N","","","","RP11-184A2_1,1316,KLF6,ENSG00000067082,ST12,DKFZp686N0199,CPBP,Zf9,COPEB,ZF9,PAC1,GBF,BCD1","Q99612","5 out of 5"
1345,"COX6C","cytochrome c oxidase subunit VIc","8:99878148-99892021","8q22-q23","yes","","uterine leiomyoma","","","M","Dom","","T","HMGA2","","","P09669,1345,COX6C,ENSG00000164919","P09669","3 out of 5"
1385,"CREB1","cAMP responsive element binding protein 1","2:207555637-207597059","2q34","yes","","clear cell sarcoma, angiomatoid fibrous histiocytoma","","","M","Dom","oncogene/fusion","T","EWSR1","","","ENSG00000118260,CREB1,1385","P16220","5 out of 5"
1387,"CREBBP","CREB binding protein (CBP)","16:3727718-3879916","16p13.3","yes","","ALL, AML, DLBCL, B-NHL","","","L","Dom/Rec","oncogene/TSG","T, N, F, Mis, O","KMT2A, MORF, KAT6A","yes","Rubinstein-Taybi syndrome","CBP,1387,CREBBP,ENSG00000005339,RSTS,RTS","Q92793","5 out of 5"
1441,"CSF3R","colony stimulating factor 3 receptor (granulocyte)","1:36466357-36479496","1p35-p34.4","yes","","aCML, CNL,  leukaemia lymphoma and MDS associated with severe congenital neutropenia, CMML, de novo AML, MDS","","","L","Dom","oncogene","N, Mis, S, O","","yes","Kostmann syndrome, severe congenital neutropenia","CD114,1441,CSF3R,ENSG00000119535,GCSFR","Q99062","5 out of 5"
1499,"CTNNB1","catenin (cadherin-associated protein), beta 1","3:41224069-41239342","3p22-p21.3","yes","","colorectal, ovarian,  hepatoblastoma, pleomorphic salivary gland adenoma, other tumour types","","","E, M, O","Dom","oncogene","Mis, O, T","PLAG1","","","P35222,CTNNB1,1499,ENSG00000168036,CTNNB","P35222","5 out of 5"
1523,"CUX1","cut-like homeobox 1","7:101817640-102249042","7q22.1","yes","","endometrial, melanoma, colorectal, AML, MDS, other tumour types","","","E,L,M,O","Dom","oncogene/TSG","N,F,S,Mis,O,T","CLDN7","","","ENSG00000160967,P39880,p75,p200,p110,p100,Nbla10317,CUX,COY1,CDP,CASP,1523,CUX1","P39880","5 out of 5"
1523,"CUX1","cut-like homeobox 1","7:101817640-102249042","7q22.1","yes","","endometrial, melanoma, colorectal, AML, MDS, other tumour types","","","E,L,M,O","Dom","oncogene/TSG","N,F,S,Mis,O,T","CLDN7","","","ENSG00000160967,P39880,p75,p200,p110,p100,Nbla10317,CUX,COY1,CDP,CASP,1523,CUX1","Q13948","5 out of 5"
1540,"CYLD","familial cylindromatosis gene","16:50749699-50796508","16q12-q13","yes","yes","cylindroma","cylindroma","familial cylindromatosis","E","Rec","TSG","Mis, N, F, S","","","","CYLD1,1540,CYLD,ENSG00000083799,USPL2,KIAA0849,CYLDI,CDMT,HSPC057,FLJ31664,FLJ20180,EAC","Q9NQC7","5 out of 5"
1616,"DAXX","death-domain associated protein","6:33318743-33321925","6p21.3","yes","","pancreatic neuroendocrine tumour, paediatric glioblastoma","","","E","Rec","oncogene/TSG","Mis, F, N","","","","BING2,DAXX,1616,ENSG00000206206,MGC126246,Q9UER7,MGC126245,DAQB-126H3_2,DAP6","Q9UER7","5 out of 5"
1639,"DCTN1","dynactin 1","2:74361499-74380037","2p13","yes","","inflammatory myofibroblastic tumour, Spitzoid tumour","","","M","Dom","","T","ALK, ROS1","yes","Distal hereditary motor neuronopathy, susceptibility to amyotrophic lateral sclerosis, Perry syndrome","DAP-150,1639,DCTN1,ENSG00000204843,Q14203,P135,DP-150","Q14203","5 out of 5"
1643,"DDB2","damage-specific DNA binding protein 2","11:47215137-47238849","11p12","","yes","","skin basal cell, skin squamous cell, melanoma","xeroderma pigmentosum (E)","E","Rec","oncogene/TSG","Mis, N","","","","Q92466,DDB2,1643,ENSG00000134574,FLJ34321","Q92466","5 out of 5"
1649,"DDIT3","DNA-damage-inducible transcript 3","12:57516809-57517406","12q13.1-q13.2","yes","","liposarcoma","","","M","Dom","TSG/fusion","T","FUS, EWSR1","","","CHOP,DDIT3,1649,ENSG00000175197,_C/EBP zeta_,MGC4154,GADD153,CHOP10,P35638","P35638","5 out of 5"
1654,"DDX3X","DEAD-box helicase 3, X-linked","X:41334253-41347719","Xp11.4","yes","","CLL, medulloblastoma","","","L, O","","TSG","Mis, N, F","","yes","Mental retardation, X-linked 102","DDX14,1654,DDX3X,ENSG00000215301,DBX,DDX3,HLP2","O00571","5 out of 5"
1655,"DDX5","DEAD (Asp-Glu-Ala-Asp) box polypeptide 5","17:64499923-64506119","17q21","yes","","prostate","","","E","Dom","oncogene","T","ETV4","","","HLR1,1655,DDX5,ENSG00000108654,P17844,DKFZp686J01190,p68,G17P1,HUMP68","P17844","5 out of 5"
1656,"DDX6","DEAD (Asp-Glu-Ala-Asp) box polypeptide 6","11:118754712-118786218","11q23.3","yes","","B-NHL","","","L","Dom","","T","IGH","","","P54,DDX6,1656,ENSG00000110367,HLR2,P26196,RCK,FLJ36338","P26196","5 out of 5"
