ID,Organelle,Manual_annotation
O75475,Nucleus,
O75477,ER,
O75489,Mitochondrion,complex I
O75494-3;O75494-4;O75494,,mRNA splicing
O75521;O75521-2,Mitochondrion,
O75530;O75530-3;O75530-2,Nucleus,
O75531,,
O75533,Nucleus,
O75534;O75534-2;O75534-4;O75534-3,Cytoplasm,
O75558,,
O75569;O75569-3,Cytoplasm,
O75592-2;O75592,Nucleus,
O75607,Nucleus,
O75608;O75608-2,Cytoplasm,
O75616,Mitochondrion,
O75643,Nucleus,mRNA splicing
O75663;O75663-2,Cytoplasm,
O75676-2;O75676,Nucleus,
O75683,Nucleolus,
O75688;O75688-4;O75688-5,Cytoplasm,
O75691,Nucleolus,nucleolar rRNA processing
O75694;O75694-2,Nucleus,Nuclear pore
O75695,,
O75717;O75717-2,Nucleus,
O75718,Secreted,
O75746;O75746-2,Mitochondrion,
O75787-2;O75787,,
O75792,Nucleus,
O75794,Cytoplasm,
O75817,,
O75818-2;O75818,Nucleolus,
O75821,,
O75822;O75822-3,Cytoplasm,
O75828,Cytoplasm,
O75832;O75832-2,,
O75843,,
O75844,,
O75874,Cytoplasm,
O75879,Mitochondrion,
O75880,Mitochondrion,
O75884,,
O75886;O75886-2,Cytoplasm,
O75909;O75909-4;O75909-1;O75909-2,Nucleus,
O75915,ER,
O75934,Nucleolus,mRNA splicing
O75935;O75935-3;O75935-2,Cytoplasm,
O75937,,
O75940,Nucleus,
O75947;O75947-2,Mitochondrion,ATP synthase
O75955;O75955-2,,
O75962;O75962-4;O75962-2;O75962-5,Cytoplasm,
O75964,Mitochondrion,ATP synthase
O75976;O75976-2,,
O76003,Cytoplasm,
O76021,Nucleolus,
O76031,Mitochondrion,
O76071,,
O76094;O76094-2,ER,
O94760;O94760-2,,
O94762;O94762-4,,
O94776,Nucleus,
O94804,,
O94822;O94822-3,,
O94826,Mitochondrion,
O94832,,
O94842-3;O94842-2;O94842,Nucleus,
O94855;O94855-2,ER,
O94874;O94874-2;O94874-3,ER,
O94880-2,,
O94888,Nucleus,
O94901-9,Nucleus,
O94903,,
O94905,ER,
O94906;O94906-2,Nucleus,mRNA splicing
O94913,Nucleus,
O94915,,
O94919,Secreted,
O94925,Mitochondrion,
O94925-3,Mitochondrion,
O94927,Cytoplasm,
O94966-7;O94966-6;O94966-4;O94966-3,ER,
O94973,,
O94979;O94979-4,ER,
O94992,,
O95059,Nucleus,
O95070,ER,
O95071;O95071-2,Nucleus,
O95081;O95081-2,,
O95104;O95104-2;O95104-3,Nucleus,
O95139;O95139-2,Mitochondrion,complex I
O95140,Mitochondrion,
O95155-2;O95155;O95155-4;O95155-3,,
O95159,,
O95163,,
O95166,Cytoplasm,
O95167,Mitochondrion,complex I
O95168;O95168-2,Mitochondrion,complex I
O95169-3;O95169;O95169-2,Mitochondrion,complex I
O95182,Mitochondrion,complex I
O95183,,
O95197-7;O95197-2;O95197;O95197-4,ER,
O95202,Mitochondrion,
O95218-2;O95218,Nucleus,
O95219;O95219-2,,
O95232,Nucleus,
O95239;O95239-2,,
O95248;O95248-4,Nucleus,
O95249,,
O95251;O95251-5,Nucleus,
O95260-2,,
O95292,ER,
O95295,Cytoplasm,
O95298;E9PQ53;O95298-2;O95298-3,Mitochondrion,complex I
O95299;O95299-2,Mitochondrion,complex I
O95319-5;O95319-2;O95319;O95319-4;O95319-3,,
O95336,Cytoplasm,
O95340;O95340-2,,
O95347;O95347-2,,
O95352;O95352-3;O95352-2,Cytoplasm,
O95361,Cytoplasm,
O95363,Mitochondrion,
O95372,Cytoplasm,
O95373,,
O95376,,
O95379-3,Cytoplasm,
O95394;O95394-4,,
O95399;O95399-2,Secreted,
O95400,,
O95425-4;O95425-3;O95425;O95425-2,Cytoplasm,
O95433;O95433-2,ER,
O95453-2;O95453;O95453-3;O95453-4,,
O95456,ER,
O95466-2;O95466;O95466-3,Cytoplasm,
O95470,ER,
O95478,Nucleolus,
O95479,ER,
O95486,ER,
O95487-2;O95487;O95487-3,ER,
O95551;O95551-2;O95551-3,,
O95563,Mitochondrion,
O95571,,
O95573,,
O95602,Nucleolus,
O95613;O95613-2,Cytoplasm,
O95619,Nucleus,
O95630;O95630-2,,
O95639-2;O95639-3;O95639,Nucleus,
O95671-2;O95671;O95671-3,,
O95696-2,Nucleus,
O95707,Nucleolus,
O95714,,
O95716,,
O95721,Cytoplasm,
O95747,Cytoplasm,
O95749;O95749-2,Cytoplasm,
O95757,,
O95758;O95758-5,,
O95772-2,,
O95777,Nucleus,mRNA splicing
O95782-2;O95782,,
O95785-3,Nucleus,
O95786;O95786-2,Cytoplasm,
O95793-2;O95793,ER,
O95801,,
O95807,,
O95816,,
O95817,,
O95819-3,Cytoplasm,
O95822-2;O95822,Mitochondrion,
O95825;O95825-2,,
O95831;O95831-4,,
O95834-2;O95834-3;O95834,Cytoplasm,
O95861;O95861-4;O95861-2,,
O95864;O95864-3;O95864-2,ER,
O95865,Mitochondrion,
O95870;O95870-2,,
O95881,ER,
O95926;O95926-2,Nucleus,
O95983;O95983-2,Nucleus,
O95989,Cytoplasm,
O95999,Cytoplasm,
O96000;O96000-2,Mitochondrion,complex I
O96005;O96005-4;O96005-3,,
O96006,Nucleus,
O96008;O96008-2,Mitochondrion,
O96011;O96011-2,,PEX11B
O96013,Cytoplasm,
O96019;O96019-2,Nucleus,
O96028;O96028-5,,
P00167-2;P00167;P00167-3,ER,
P00338;P00338-3;P00338-5;P00338-2,Cytoplasm,
P00352,Cytoplasm,
P00367;P00367-2,Mitochondrion,
P00374;P00374-2,,
P00387-3;P00387-2;P00387,,
P00390-2;P00390;P00390-3;P00390-4;P00390-5,Mitochondrion,
P00395,Mitochondrion,complex IV
P00403,Mitochondrion,complex IV
P00414,Mitochondrion,
P00441,,
P00488,Secreted,
P00491,Cytoplasm,
P00492,Cytoplasm,
P00505;P00505-2,Mitochondrion,
P00533,,
P00558,Cytoplasm,
P00568,Cytoplasm,
P00813,Cytoplasm,
P00846,Mitochondrion,ATP synthase
P00918,Cytoplasm,
P00966,,
P00973;P00973-2;P00973-3,,
P01024,Secreted,
P01031,Secreted,
P01040,Cytoplasm,
P01111,,
P01116-2,Cytoplasm,
P01137,Secreted,
P01591,Secreted,
P01834,,
P01857,Secreted,
P01871;P01871-2,Secreted,
P02545-2,Nucleus,
P02545;P02545-6;P02545-4,Nucleus,
P02649,Secreted,
P02656,Secreted,
P02671,Secreted,
P02751;P02751-8;P02751-3;P02751-14;P02751-17;P02751-9;P02751-6;P02751-12,Secreted,
P02753,Secreted,
P02786,Secreted,
P02792,,
P02794,,
P03886,Mitochondrion,complex I
P03891,Mitochondrion,
P03905,Mitochondrion,complex I
P03915,Mitochondrion,complex I
P03928,Mitochondrion,
P04040,,
P04049-2;P04049,,
P04062-4;P04062-2;P04062;P04062-5,,
P04066,,
P04075;P04075-2,Cytoplasm,
P04080,,
P04083,,
P04114,Secreted,
P04150;P04150-10;P04150-2;P04150-8;P04150-3;P04150-9;P04150-6;P04150-5;P04150-7,,
P04179;P04179-4;P04179-2,Mitochondrion,
P04181,Mitochondrion,
P04183,Cytoplasm,
P04264,,
P04350,Cytoplasm,
P04406,,
P04424;P04424-2;P04424-3,,
P04632,Cytoplasm,
P04792,,
P04818;P04818-2;P04818-3,,
P04839,,
P04843,ER,
P04844;P04844-2,ER,
P04899;P04899-6;P04899-5;P04899-2,Cytoplasm,G proteins
P05023-4;P05023;P05023-3;P05023-2,,
P05026-2;P05026,,
P05067;P05067-11;P05067-8;P05067-9;P05067-6;P05067-7;P05067-4;P05067-5;P05067-3;P05067-10,,
P05089;P05089-2,Cytoplasm,
P05091,Mitochondrion,
P05107,,
P05109,Secreted,
P05114,,
P05141,Mitochondrion,
P05155-2;P05155;P05155-3,Secreted,
P05161,Secreted,
P05165;P05165-2;P05165-3,Mitochondrion,
P05166;P05166-2,Mitochondrion,
P05198,,
P05204,,
P05362,,
P05386,Ribosome,
P05387,Ribosome,
P05388;Q8NHW5,,
P05455,Nucleus,
P05534,,
P05556;P05556-2;P05556-5,,
P05771-2;P05771,,
P05783,,
P05976-2;P05976,,Myosins
P06132,Cytoplasm,
P06239;P06239-3,Cytoplasm,
P06280,,
P06396,Secreted,
P06396-2,Secreted,
P06400,Nucleus,
P06454-2;P06454,Nucleus,
P06493,,
P06576,Mitochondrion,ATP synthase
P06702,Secreted,
P06703,,
P06730;P06730-3;P06730-2,Cytoplasm,
P06733,,
P06737;P06737-2,,
P06744,Secreted,
P06746,,
P06748;P06748-2,,
P06753-2,Cytoplasm,Tropomyosin
P06756-3;P06756,,
P06865,,
P07099,ER,
P07108;P07108-2;P07108-4;P07108-5,ER,
P07195,Cytoplasm,
P07203,Cytoplasm,
P07237,ER,
P07305;P07305-2,Nucleus,
P07311,,
P07339,Secreted,
P07355;P07355-2,Secreted,
P07384,Cytoplasm,
P07437,Cytoplasm,
P07602;P07602-2,Secreted,
P07686,,
P07737,Cytoplasm,
P07738,,
P07741;P07741-2,Cytoplasm,
P07814,Cytoplasm,
P07858,Secreted,
P07900-2;P07900,Cytoplasm,
P07910-2;P07910-4,Nucleus,hnRNP
P07919,Mitochondrion,
P07942,Secreted,
P07947,Cytoplasm,
P07948,,
P07951-2,Cytoplasm,Tropomyosin
P07954-2;P07954,Mitochondrion,
P07996;P07996-2,ER,
P08047;P08047-3;P08047-2,,
P08133;P08133-2,Cytoplasm,
P08134,,Rho GTPase
P08195-2,,
P08236;P08236-2;P08236-3,,
P08237;P08237-3;P08237-2,Cytoplasm,
P08238,Cytoplasm,
P08240;P08240-2,ER,
P08243-2;P08243;P08243-3,,
P08397;P08397-2;P08397-3;P08397-4,Cytoplasm,
P08559-4,Mitochondrion,
P08567,,
P08574,Mitochondrion,
P08575-2;P08575,,
P08579,Nucleus,mRNA splicing
P08621;P08621-2;P08621-3,Nucleus,mRNA splicing
P08648,,Integrins
P08670,Cytoplasm,
P08754,Cytoplasm,G proteins
P08758,,
P08865,Ribosome,
P08962-3;P08962-2;P08962,Secreted,
P09001,Mitochondrion,
P09012,Nucleus,mRNA splicing
P09104;P09104-2,Cytoplasm,
P09110;P09110-2,,
P09132,Cytoplasm,
P09211,,
P09234,Nucleus,mRNA splicing
P09382,Secreted,
P09417;P09417-2,,
P09429,,
P09467,,
P09488;P09488-2,Cytoplasm,
P09493-3,Cytoplasm,Tropomyosin
P09493-5,Cytoplasm,Tropomyosin
P09496-2;P09496-4;P09496-3;P09496;P09496-5,Cytoplasm,
P09497-2;P09497,,
P09525,,
P09543-2;P09543,,
P09601,ER,
P09622;P09622-2;P09622-3,Mitochondrion,
P09651;P09651-2;P09651-3,,hnRNP
P09661,Nucleus,
P09669,Mitochondrion,complex IV
P09874,Nucleolus,
P09884,,
P09914;P09914-2,Cytoplasm,
P09936,ER,
P09960;P09960-4;P09960-2;P09960-3,Cytoplasm,
P09972,,
P0C0L5,Secreted,
P0CG05,,
P0CW22;P08708,,
P0DI82;P0DI81,,
P0DMN0;P0DMM9;P0DMM9-3,Cytoplasm,
P0DMV9;P0DMV8,Cytoplasm,
P10109,Mitochondrion,
P10155;P10155-3;P10155-5;P10155-4,Cytoplasm,
P10253,,
P10301,,
P10316,,
P10321,,
P10398,,
P10412,Nucleus,
P10515,Mitochondrion,
P10586-2;P10586,,
P10599;P10599-2,,
P10606,Mitochondrion,complex IV
P10619-2;P10619,,
P10620;P10620-2,,
P10644;P10644-2,,
P10768,Cytoplasm,
P10809,Mitochondrion,
P10909-4;P10909;P10909-5;P10909-2;P10909-3,,
P11021,ER,
P11047,Secreted,
P11142;P11142-2,,
P11166,,
P11169,,
P11171-2,,
P11172;P11172-3,,
P11177;P11177-2;P11177-3,Mitochondrion,
P11182,Mitochondrion,
P11215;P11215-2,,
P11216,,
P11217;P11217-2,,
P11233,,
P11234;P11234-2;P11234-3,,
P11274;P11274-2,,
P11279;P11279-2,,
P11310;P11310-2,Mitochondrion,
P11387,Nucleolus,
P11388;P11388-2;P11388-3;P11388-4,,
P11413;P11413-2;P11413-3,,
P11441,Cytoplasm,
P11498,Mitochondrion,
P11532-4;P11532;P11532-3;P11532-2,Cytoplasm,
P11586,Cytoplasm,
P11717,,
P11766,Cytoplasm,
P11802,,
P11908;P11908-2,,
P11940;P11940-2,,
P12004,Nucleus,
P12074,Mitochondrion,
P12081;P12081-4;P12081-2;P12081-3,Cytoplasm,
P12109,Secreted,
P12235,Mitochondrion,ADP translocase
P12236,Mitochondrion,
P12259,Secreted,
P12268,,
P12270,,Nuclear pore
P12277,Cytoplasm,
P12429,,
P12694;P12694-2,Mitochondrion,
P12814-3;P12814-2;P12814-4,Cytoplasm,
P12931-2;P12931,,
P12955;P12955-3;P12955-2,,
P12956;P12956-2,Nucleus,
P13010,Nucleolus,
P13051,,
P13073,Mitochondrion,complex IV
P13284,Secreted,
P13473-2,,
P13489,Cytoplasm,
P13612,,
P13639,,
P13667,ER,
P13674-2;P13674-3,ER,
P13693;P13693-2,Cytoplasm,
P13716,,
P13747,,
P13796,Cytoplasm,
P13797;P13797-3;P13797-2,Cytoplasm,
P13798,Cytoplasm,
P13804;P13804-2,Mitochondrion,
P13807;P13807-2,,
P13861;P13861-2,Cytoplasm,
P13984,Nucleus,
P13987,Secreted,
P13995;P13995-2,Mitochondrion,
P14174,Secreted,
P14209;P14209-3;P14209-2,,
P14314-2;P14314,ER,
P14317,Mitochondrion,
P14324,Cytoplasm,
P14406,Mitochondrion,complex IV
P14550,,
P14618-2,,
P14618;P14618-3,,
P14625,ER,
P14635;P14635-2,,
P14678;P14678-2;P14678-3,,
P14735;P14735-2,Secreted,
P14854,Mitochondrion,complex IV
P14859-5;P14859-6,Nucleus,
P14866;P14866-2,,hnRNP
P14868;P14868-2,Cytoplasm,
P14923,Cytoplasm,
P14927,Mitochondrion,complex III
P15104,Mitochondrion,
P15121,Cytoplasm,
P15144,Cytoplasm,
P15153,Cytoplasm,Rho GTPase
P15170-2;P15170-3;P15170,,
P15311,Cytoplasm,
P15374,Cytoplasm,
P15498;P15498-2,,
P15529-3;P15529-7;P15529-4;P15529-6;P15529-5;P15529-2;P15529-16,,
P15531;P15531-2,,
P15559-2;P15559,Cytoplasm,
P15586;P15586-2,,
P15880,Ribosome,
P15924;P15924-3;P15924-2,Cytoplasm,
P15927;P15927-2;P15927-3,Nucleus,
P15954,Mitochondrion,complex IV
P16070-3;P16070-16;P16070-4;P16070-5;P16070;P16070-10;P16070-17;P16070-6;P16070-7;P16070-11;P16070-8;P16070-18;P16070-12;P16070-13,,
P16083,Cytoplasm,
P16144-3,,Integrins
P16150,,
P16152,Cytoplasm,
P16157-5;P16157-21;P16157-6,Cytoplasm,
P16219,Mitochondrion,
P16220-2;P16220;P16220-3,Nucleus,
P16278-3;P16278;P16278-2,Cytoplasm,
P16298;P16298-4;P16298-3;P16298-2,,
P16333,,
P16383,Nucleolus,
P16401,Nucleus,
P16402,Nucleus,
